店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
韓韓麺 千住店 （カンカンメン）,3.30,1999,0,104.0,1,ラーメン,03-3870-7826,予約可,火・水・木・金・土 18:00 - 23:00 月・日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可
日高屋 北千住西口駅前店,3.04,999,999,86.0,1,ラーメン,03-3870-9177,予約不可,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
北海道らーめん奥原流 久楽 北千住店,3.15,999,999,32.0,0,ラーメン,03-5284-1440,予約不可,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,カード不可 電子マネー可 QRコード決済可
北千住煮干中華蕎麦 かれん,3.68,1999,1999,146.0,1,ラーメン,不明の為情報お待ちしております,予約不可,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,3.12,2999,1999,96.0,1,ラーメン,03-3870-9122,予約可,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可
元祖油堂 北千住東口店,3.27,999,1999,85.0,1,ラーメン,03-5284-7048,予約不可,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,カード不可 電子マネー可 QRコード決済不可
牛骨らぁ麺マタドール,3.73,1999,1999,285.0,3,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,カード不可 電子マネー不可 QRコード決済不可
鯛塩そば灯花 千住ミルディス店,3.21,999,1999,147.0,1,ラーメン,050-5600-3843,予約不可,10:00 - 20:00,カード可 （VISA） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay）
肉玉そば おとど 北千住店,3.19,999,1999,95.0,1,ラーメン,03-6806-1054,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
日高屋 北千住東口店,3.02,1999,999,224.0,2,ラーメン,03-3888-0155,予約不可,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可
千住 チャーシュー軒,3.41,1999,1999,102.0,1,ラーメン,非公開,予約不可,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
ラーメン 豚山 北千住東口店,3.21,999,1999,133.0,1,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土・日 11:00 - 22:00 月 定休日 ■ 営業時間 営業時間・休業営業時間・休業日は変更となる場合がございますので、 HPにて最新情報をご確認ください,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可
福しん 北千住店,3.06,999,999,301.0,4,ラーメン,03-3881-6203,予約不可,11:00 - 23:00 ■ 定休日 年末年始 他、臨時休業有り,カード不可 電子マネー可 QRコード決済可
つけめん さなだ,3.73,1999,1999,451.0,6,ラーメン,不明の為情報お待ちしております,予約不可,月 11:30 - 14:45 火・水・木・金 11:30 - 14:45 18:00 - 20:45 土 11:00 - 16:00 18:00 - 20:45 日 11:00 - 16:00 18:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
自家製麺 竜葵 マルイ北千住店 （ほおずき）,3.30,1999,1999,196.0,2,ラーメン,03-6806-2166,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
北海道らーめん みそ熊 北千住店,3.20,1999,999,391.0,5,ラーメン,03-3870-5415,予約不可,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
東京油組総本店 北千住組,3.05,999,1999,244.0,3,ラーメン,03-5284-9368,予約不可,11:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
らぁ麺屋のさかいさん,3.42,1999,1999,171.0,2,ラーメン,不明の為情報お待ちしております,予約不可,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
東池袋 大勝軒 ○高屋 （まるたかや）,3.36,999,1999,542.0,7,ラーメン,03-3870-9555,予約不可,月・火・木・金・土・日 11:00 - 15:00 17:30 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可
横浜ラーメン　武蔵家 北千住店,3.47,999,999,166.0,2,ラーメン,03-3870-7410,予約不可,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
らーめん 龍馬,3.13,1999,0,224.0,2,ラーメン,不明の為情報お待ちしております,予約不可,None-info,カード不可 電子マネー不可
手打ちラーメン珍来 北千住店 （チンライ）,3.08,1999,1999,354.0,4,ラーメン,03-3870-4506,予約不可,月・火・木・金・土・日 11:00 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可
どさん子 千住一丁目店,3.04,999,999,370.0,4,ラーメン,03-3881-4303,予約不可,月・火・木・金・土・日 11:30 - 22:00 水 定休日,カード不可
武蔵家 北千住西口店,3.44,999,999,164.0,2,ラーメン,03-5284-3634,予約不可,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
雲林坊 北千住東口店,3.36,1999,1999,75.0,1,ラーメン,03-5284-8077,予約不可,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
麺屋 てぃーち,3.07,0,1999,473.0,6,ラーメン,03-6806-1277,予約不可,火・水・木・金・土・日 11:00 - 15:00 17:00 - 22:00 L.O. 21:45 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 QRコード決済可
焼きあご塩らー麺 たかはし 北千住店,3.31,1999,1999,159.0,2,ラーメン,03-6806-2380,予約不可,11:00 - 23:00 L.O. 22:50 ■ 定休日 無休（年末年始を除く）,カード不可 電子マネー不可 QRコード決済不可
宗庵 北千住店,3.29,999,999,397.0,5,ラーメン,03-5244-2134,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
ひむろ 北千住店,3.40,999,999,244.0,3,ラーメン,03-5284-8244,予約不可,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay）
ラーメン鷹の目 北千住店,3.46,1999,1999,256.0,3,ラーメン,不明の為情報お待ちしております,予約不可,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
スタンド バイ ミー （STAND BY ME）,3.46,1999,1999,508.0,6,ラーメン,不明の為情報お待ちしております,予約不可,月・火・木・金・土・日 11:00 - 15:00 17:30 - 21:30 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
ラーメン炙り （あぶり）,3.51,1999,1999,410.0,5,ラーメン,03-3870-1277,予約不可,火・水・木・金・土 11:30 - 15:00 L.O. 14:45 17:30 - 22:00 L.O. 21:30 日 11:30 - 15:00 月 定休日 ■ 営業時間 スープなくなり次第終了いたします。  ■ 定休日 月曜（祭日の場合は火曜）,カード不可 電子マネー不可
ラーメン　雑賀,3.02,0,0,109.0,1,ラーメン,03-3888-3131,None-info,None-info,カード可 （JCB、AMEX、Diners）
麺処 勇人 （メンドコロ ハヤト）,3.01,0,0,158.0,2,ラーメン,03-6806-1370,None-info,None-info,
寿司 牡蠣 北千住スシエビス,3.29,3999,0,136.0,1,寿司,050-5593-1383,予約可,月・火・水・木・金 16:00 - 23:00 土・日・祝日 12:00 - 23:00,カード可 （VISA、Master） 電子マネー可 QRコード決済可 （PayPay）
はなの舞 北千住店,3.04,3999,999,155.0,2,寿司,050-5589-5189,予約可,月・火・水・木 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 金・土・祝前日 11:30 - 05:00 L.O. 料理04:00 ドリンク04:30 日 11:30 - 23:30 L.O. 料理22:30 ドリンク23:00,カード可 （VISA、JCB、AMEX、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
九州人情酒場 魚星 北千住東口店,3.04,0,0,146.0,1,寿司,050-5600-3747,予約可,16:00 - 23:30 L.O. 料理22:30 ドリンク23:00 ■ 営業時間 【九州魚星のおすすめ】 テーブル席 飲み放題 刺身 刺身盛り 焼酎 日本酒 ウイスキー ハイボール 少人数  ■ 定休日 なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ）
きく鮨,3.40,14999,1999,478.0,6,寿司,050-5594-8743,予約可 貸切時応相談,11:30 - 14:30 17:00 - 22:00 ■定休日 なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
鮨・酒・肴 杉玉 北千住,3.16,4999,1999,375.0,5,寿司,050-5872-7373,予約可 混雑した場合、お席のお時間２時間でお願いする場合がございます。 お客様にはご迷惑をお掛けしますが、ご理解とご了承お願い致します。,月・火・水・木・金 11:30 - 14:30 L.O. 14:00 17:00 - 23:00 L.O. 22:30 土・日・祝日 11:30 - 14:30 L.O. 14:00 16:00 - 23:00 L.O. 22:30,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可
大江戸 北千住店,3.17,1999,1999,179.0,2,寿司,03-5813-0551,予約不可,None-info,カード可 （AMEX、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）
ちよだ鮨 北千住店,3.01,0,0,355.0,4,寿司,03-3882-6101,None-info,10:00 - 21:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX）
魚力 北千住マルイ店,3.03,999,1999,145.0,1,寿司,03-5284-3621,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB） 電子マネー可
山与し鮨,3.23,0,1999,171.0,2,寿司,03-3881-0733,予約可,None-info,カード可 （AMEX） 電子マネー不可
まぐろ人 北千住出張所,3.33,0,2999,224.0,2,寿司,03-5284-7689,予約不可,11:30 - 22:00,カード可 電子マネー可 QRコード決済可
北千住　おすしやさんの家　たなか,3.38,7999,3999,613.0,8,寿司,03-6806-1078,予約可 営業時間外でも予約可能です。LINE公式アカウントでも予約、空き状況聞けます。,月・火・水・木・金 17:00 - 22:00 土・日・祝日 11:30 - 13:30 17:00 - 19:00 19:30 - 22:00 ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
古市庵 北千住マルイ店,3.02,999,999,161.0,2,寿司,03-5244-1861,予約可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可
きね鮨,3.23,5999,0,293.0,3,寿司,03-3870-0194,予約可,None-info,カード可 （JCB、AMEX、Diners） 電子マネー不可
回転寿司みさき エキア北千住 （【旧店名】海鮮三崎港）,3.04,3999,999,92.0,1,寿司,03-5284-4388,予約不可,07:00 - 10:00 11:00 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、JCB、AMEX、Diners） 電子マネー可 QRコード決済可
居酒屋やおよろず,3.08,0,1999,496.0,6,寿司,03-6812-0905,予約可 【ご予約受付時間】 昼　11:30〜14:30 夜　17:00〜22:00 不定休の為、詳しくはお尋ねください 御予約受付時間　11:30〜22:00,11:30 - 15:00 L.O. 14:00 17:00 - 23:30 L.O. 22:30 ■ 定休日 不定休お気軽にお問い合わせください,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay）
さかなや別邸,3.55,14999,2999,211.0,2,寿司,050-5592-6542,予約可 予約キャンセル時にはキャンセル料金として2日前50%、前日当日100％のコース料金を頂いています。ご了承ください。,11:30 - 13:30 L.O. 13:00 17:00 - 21:00 L.O. 20:30 ■ 営業時間 ランチ[月～日] ※ランチタイムは前日までの予約制のコース料理のみになります。    ディナー[月～日] ※終日2時間制とさせていただきます。 ※コース料理のみになっております。 ※席だけの予約は承っておりません。予めご了承ください。  ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
にぎりの一歩,3.55,7999,0,398.0,5,寿司,03-3870-5251,予約可,月・火・水・木・金 17:00 - 22:30 L.O. 22:00 土・日 15:00 - 22:30 L.O. 22:00 ■ 定休日 不定休,カード可 （JCB、AMEX、Diners、VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）
築地玉寿司 ルミネ北千住店,3.07,0,1999,61.0,0,寿司,03-5813-5081,予約可,11:00 - 22:00 L.O. 21:30 ■ 営業時間 ランチ 11:00～15:00／［月～金（土・日・祝日除く）］  ■ 定休日 無休 （ルミネ北千住に準ずる）,カード可 電子マネー可
ののの,3.15,0,0,439.0,5,寿司,03-5284-7311,予約可,月・木・金 11:30 - 15:00 L.O. 14:00 17:30 - 22:00 L.O. 21:00 土・日・祝日 11:00 - 15:00 L.O. 14:00 17:30 - 22:00 L.O. 21:00 火・水 定休日,カード不可 電子マネー不可 QRコード決済可 （PayPay）
千住 しげ,3.56,29999,0,392.0,5,寿司,03-5284-2727,予約可,月・火・水・木・金・土 17:30 - 21:00 日 定休日 ■ 営業時間 17:30～21時ラスト入店,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可
英鮨 北千住店,3.12,4999,0,138.0,1,寿司,03-3870-7607,予約可,月・火・水・木・土 16:30 - 04:00 金・祝前日 16:30 - 05:00 日・祝日 16:30 - 03:00 【定休日】 月に１回休暇あり 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
廻り寿し 千寿 すしつね 北千住マルイ店,3.05,2999,2999,206.0,2,寿司,03-5284-3572,予約不可,11:00 - 22:00 ■ 営業時間 平日ランチ：11:00～15:00 ラストオーダー：和食21:00、その他21:30、お土産21:30（最終受取22:00迄）  ■ 定休日 不定休（マルイの休日に準ずる）,カード可 （JCB、AMEX、VISA、Master、Diners） 電子マネー不可 QRコード決済不可
だんごの美好 北千住店,3.28,0,999,314.0,4,寿司,03-3882-6998,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可
FOOD PARK （フードパーク）,3.06,0,0,790.0,10,寿司,03-3881-4580,予約可 基本的にはテイクアウトの予約です。 電話予約時間１０：３０～２０：３０（１４時～１６時は不在の可能性あり）,月・火・木・金・土・日 11:00 - 14:00 16:00 - 21:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー可 QRコード決済可 （PayPay）
寿司勝,3.04,0,0,112.0,1,寿司,03-3881-8959,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可
美食 和,3.08,0,0,336.0,4,寿司,03-6319-7727,None-info,None-info,カード可 （AMEX）
栄寿司,3.10,0,0,621.0,8,寿司,03-3888-6491,予約不可,None-info,カード不可 電子マネー不可
京樽・スシロー・重吉 北千住店,3.00,0,0,187.0,2,寿司,不明の為情報お待ちしております,予約可,None-info,カード可 （AMEX） 電子マネー可
朝日鮨,3.03,0,0,434.0,5,寿司,03-3881-5837,None-info,None-info,
麺処 勇人 （メンドコロ ハヤト）,3.01,0,0,158.0,2,寿司,03-6806-1370,None-info,None-info,
