店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
にぎりの一歩,3.55,7999,0,398.0,5,寿司,03-3870-5251,予約可,月・火・水・木・金 17:00 - 22:30 L.O. 22:00 土・日 15:00 - 22:30 L.O. 22:00 ■ 定休日 不定休,カード可 （JCB、AMEX、Diners、VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）
築地玉寿司 ルミネ北千住店,3.07,0,1999,61.0,0,寿司,03-5813-5081,予約可,11:00 - 22:00 L.O. 21:30 ■ 営業時間 ランチ 11:00～15:00／［月～金（土・日・祝日除く）］  ■ 定休日 無休 （ルミネ北千住に準ずる）,カード可 電子マネー可
ののの,3.15,0,0,439.0,5,寿司,03-5284-7311,予約可,月・木・金 11:30 - 15:00 L.O. 14:00 17:30 - 22:00 L.O. 21:00 土・日・祝日 11:00 - 15:00 L.O. 14:00 17:30 - 22:00 L.O. 21:00 火・水 定休日,カード不可 電子マネー不可 QRコード決済可 （PayPay）
千住 しげ,3.56,29999,0,392.0,5,寿司,03-5284-2727,予約可,月・火・水・木・金・土 17:30 - 21:00 日 定休日 ■ 営業時間 17:30～21時ラスト入店,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可
英鮨 北千住店,3.12,4999,0,138.0,1,寿司,03-3870-7607,予約可,月・火・水・木・土 16:30 - 04:00 金・祝前日 16:30 - 05:00 日・祝日 16:30 - 03:00 【定休日】 月に１回休暇あり 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
廻り寿し 千寿 すしつね 北千住マルイ店,3.05,2999,2999,206.0,2,寿司,03-5284-3572,予約不可,11:00 - 22:00 ■ 営業時間 平日ランチ：11:00～15:00 ラストオーダー：和食21:00、その他21:30、お土産21:30（最終受取22:00迄）  ■ 定休日 不定休（マルイの休日に準ずる）,カード可 （JCB、AMEX、VISA、Master、Diners） 電子マネー不可 QRコード決済不可
だんごの美好 北千住店,3.28,0,999,314.0,4,寿司,03-3882-6998,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可
FOOD PARK （フードパーク）,3.06,0,0,790.0,10,寿司,03-3881-4580,予約可 基本的にはテイクアウトの予約です。 電話予約時間１０：３０～２０：３０（１４時～１６時は不在の可能性あり）,月・火・木・金・土・日 11:00 - 14:00 16:00 - 21:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー可 QRコード決済可 （PayPay）
寿司勝,3.04,0,0,112.0,1,寿司,03-3881-8959,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可
美食 和,3.08,0,0,336.0,4,寿司,03-6319-7727,None-info,None-info,カード可 （AMEX）
栄寿司,3.10,0,0,621.0,8,寿司,03-3888-6491,予約不可,None-info,カード不可 電子マネー不可
京樽・スシロー・重吉 北千住店,3.00,0,0,187.0,2,寿司,不明の為情報お待ちしております,予約可,None-info,カード可 （AMEX） 電子マネー可
朝日鮨,3.03,0,0,434.0,5,寿司,03-3881-5837,None-info,None-info,
麺処 勇人 （メンドコロ ハヤト）,3.01,0,0,158.0,2,寿司,03-6806-1370,None-info,None-info,
