店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
東京油組総本店 北千住組,3.05,999,1999,244.0,3,ラーメン,03-5284-9368,予約不可,11:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
らぁ麺屋のさかいさん,3.42,1999,1999,171.0,2,ラーメン,不明の為情報お待ちしております,予約不可,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
東池袋 大勝軒 ○高屋 （まるたかや）,3.36,999,1999,542.0,7,ラーメン,03-3870-9555,予約不可,月・火・木・金・土・日 11:00 - 15:00 17:30 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可
横浜ラーメン　武蔵家 北千住店,3.47,999,999,166.0,2,ラーメン,03-3870-7410,予約不可,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
らーめん 龍馬,3.13,1999,0,224.0,2,ラーメン,不明の為情報お待ちしております,予約不可,None-info,カード不可 電子マネー不可
手打ちラーメン珍来 北千住店 （チンライ）,3.08,1999,1999,354.0,4,ラーメン,03-3870-4506,予約不可,月・火・木・金・土・日 11:00 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可
どさん子 千住一丁目店,3.04,999,999,370.0,4,ラーメン,03-3881-4303,予約不可,月・火・木・金・土・日 11:30 - 22:00 水 定休日,カード不可
武蔵家 北千住西口店,3.44,999,999,164.0,2,ラーメン,03-5284-3634,予約不可,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
雲林坊 北千住東口店,3.36,1999,1999,75.0,1,ラーメン,03-5284-8077,予約不可,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
麺屋 てぃーち,3.07,0,1999,473.0,6,ラーメン,03-6806-1277,予約不可,火・水・木・金・土・日 11:00 - 15:00 17:00 - 22:00 L.O. 21:45 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 QRコード決済可
焼きあご塩らー麺 たかはし 北千住店,3.31,1999,1999,159.0,2,ラーメン,03-6806-2380,予約不可,11:00 - 23:00 L.O. 22:50 ■ 定休日 無休（年末年始を除く）,カード不可 電子マネー不可 QRコード決済不可
宗庵 北千住店,3.29,999,999,397.0,5,ラーメン,03-5244-2134,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
ひむろ 北千住店,3.40,999,999,244.0,3,ラーメン,03-5284-8244,予約不可,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay）
ラーメン鷹の目 北千住店,3.46,1999,1999,256.0,3,ラーメン,不明の為情報お待ちしております,予約不可,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
スタンド バイ ミー （STAND BY ME）,3.46,1999,1999,508.0,6,ラーメン,不明の為情報お待ちしております,予約不可,月・火・木・金・土・日 11:00 - 15:00 17:30 - 21:30 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
ラーメン炙り （あぶり）,3.51,1999,1999,410.0,5,ラーメン,03-3870-1277,予約不可,火・水・木・金・土 11:30 - 15:00 L.O. 14:45 17:30 - 22:00 L.O. 21:30 日 11:30 - 15:00 月 定休日 ■ 営業時間 スープなくなり次第終了いたします。  ■ 定休日 月曜（祭日の場合は火曜）,カード不可 電子マネー不可
ラーメン　雑賀,3.02,0,0,109.0,1,ラーメン,03-3888-3131,None-info,None-info,カード可 （JCB、AMEX、Diners）
麺処 勇人 （メンドコロ ハヤト）,3.01,0,0,158.0,2,ラーメン,03-6806-1370,None-info,None-info,
