最終評価,店名,項目,星5段階評価,lunch(~以内の値段で食べられる),北千住駅から徒歩(分),お問い合わせ,予約可否,営業時間,支払い方法
7.038288588738816,麺屋 音 （オト）,ラーメン,3.68,1999,4,03-3882-3922,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
6.972222222222224,北海道らーめん みそ熊 北千住店,ラーメン,3.2,999,5,03-3870-5415,予約不可,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
6.872222222222224,日高屋 北千住東口店,ラーメン,3.02,999,2,03-3888-0155,予約不可,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可
6.762500000000002,回転寿司みさき エキア北千住 （【旧店名】海鮮三崎港）,寿司,3.04,999,1,03-5284-4388,予約不可,07:00 - 10:00 11:00 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、JCB、AMEX、Diners） 電子マネー可 QRコード決済可
6.64384414429437,ラーメン 豚山 北千住東口店,ラーメン,3.21,1999,1,不明の為情報お待ちしております,予約不可,火・水・木・金・土・日 11:00 - 22:00 月 定休日 ■ 営業時間 営業時間・休業営業時間・休業日は変更となる場合がございますので、 HPにて最新情報をご確認ください,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可
6.64384414429437,鯛塩そば灯花 千住ミルディス店,ラーメン,3.21,1999,1,050-5600-3843,予約不可,10:00 - 20:00,カード可 （VISA） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay）
6.499399699849926,肉玉そば おとど 北千住店,ラーメン,3.19,1999,1,03-6806-1054,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
6.161111111111113,福しん 北千住店,ラーメン,3.06,999,4,03-3881-6203,予約不可,11:00 - 23:00 ■ 定休日 年末年始 他、臨時休業有り,カード不可 電子マネー可 QRコード決済可
6.1605108109610365,らぁ麺屋のさかいさん,ラーメン,3.42,1999,2,不明の為情報お待ちしております,予約不可,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
6.043844144294369,麺屋 音 別邸 （メンヤ オト ベッテイ）,ラーメン,3.57,1999,5,03-5284-1139,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
6.016666666666668,どさん子 千住一丁目店,ラーメン,3.04,999,4,03-3881-4303,予約不可,月・火・木・金・土・日 11:30 - 22:00 水 定休日,カード不可
5.993844144294371,紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,ラーメン,3.12,1999,1,03-3870-9122,予約可,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可
5.8125,だんごの美好 北千住店,寿司,3.28,999,4,03-3882-6998,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可
5.811111111111112,北海道らーめん奥原流 久楽 北千住店,ラーメン,3.15,999,0,03-5284-1440,予約不可,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,カード不可 電子マネー可 QRコード決済可
5.782733033183258,ラーメン鷹の目 北千住店,ラーメン,3.46,1999,3,不明の為情報お待ちしております,予約不可,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
5.610510810961036,ラーメン炙り （あぶり）,ラーメン,3.51,1999,5,03-3870-1277,予約不可,火・水・木・金・土 11:30 - 15:00 L.O. 14:45 17:30 - 22:00 L.O. 21:30 日 11:30 - 15:00 月 定休日 ■ 営業時間 スープなくなり次第終了いたします。  ■ 定休日 月曜（祭日の場合は火曜）,カード不可 電子マネー不可
5.366066366516593,焼きあご塩らー麺 たかはし 北千住店,ラーメン,3.31,1999,2,03-6806-2380,予約不可,11:00 - 23:00 L.O. 22:50 ■ 定休日 無休（年末年始を除く）,カード不可 電子マネー不可 QRコード決済不可
5.2938441442943684,自家製麺 竜葵 マルイ北千住店 （ほおずき）,ラーメン,3.3,1999,2,03-6806-2166,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
5.262500000000001,はなの舞 北千住店,寿司,3.04,999,2,050-5589-5189,予約可,月・火・水・木 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 金・土・祝前日 11:30 - 05:00 L.O. 料理04:00 ドリンク04:30 日 11:30 - 23:30 L.O. 料理22:30 ドリンク23:00,カード可 （VISA、JCB、AMEX、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
5.154166666666668,古市庵 北千住マルイ店,寿司,3.02,999,2,03-5244-1861,予約可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可
4.425,さかなや別邸,寿司,3.55,2999,2,050-5592-6542,予約可 予約キャンセル時にはキャンセル料金として2日前50%、前日当日100％のコース料金を頂いています。ご了承ください。,11:30 - 13:30 L.O. 13:00 17:00 - 21:00 L.O. 20:30 ■ 営業時間 ランチ[月～日] ※ランチタイムは前日までの予約制のコース料理のみになります。    ディナー[月～日] ※終日2時間制とさせていただきます。 ※コース料理のみになっております。 ※席だけの予約は承っておりません。予めご了承ください。  ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
4.007883108220777,魚力 北千住マルイ店,寿司,3.03,1999,1,03-5284-3621,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB） 電子マネー可
3.591216441554111,山与し鮨,寿司,3.23,1999,2,03-3881-0733,予約可,None-info,カード可 （AMEX） 電子マネー不可
3.2662164415541106,大江戸 北千住店,寿司,3.17,1999,2,03-5813-0551,予約不可,None-info,カード可 （AMEX、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）
3.2333333333333343,まぐろ人 北千住出張所,寿司,3.33,2999,2,03-5284-7689,予約不可,11:30 - 22:00,カード可 電子マネー可 QRコード決済可
2.821621922072147,東京油組総本店 北千住組,ラーメン,3.05,1999,3,03-5284-9368,予約不可,11:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
2.704955255405482,手打ちラーメン珍来 北千住店 （チンライ）,ラーメン,3.08,1999,4,03-3870-4506,予約不可,月・火・木・金・土・日 11:00 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可
2.312049774887445,鮨・酒・肴 杉玉 北千住,寿司,3.16,1999,5,050-5872-7373,予約可 混雑した場合、お席のお時間２時間でお願いする場合がございます。 お客様にはご迷惑をお掛けしますが、ご理解とご了承お願い致します。,月・火・水・木・金 11:30 - 14:30 L.O. 14:00 17:00 - 23:00 L.O. 22:30 土・日・祝日 11:30 - 14:30 L.O. 14:00 16:00 - 23:00 L.O. 22:30,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可
2.236111111111111,マクドナルド 北千住西口店,ハンバーガー,3.03,999,1,03-5284-5660,予約不可,24時間営業 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 QRコード決済可
1.718055555555556,マクドナルド 北千住東口店,ハンバーガー,3.02,999,2,03-6806-2777,予約不可,06:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 （楽天Edy） QRコード決済可 （PayPay）
1.718055555555556,マクドナルド 千住ミルディス店,ハンバーガー,3.02,999,2,03-5284-3501,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー可 QRコード決済可
1.7166666666666668,廻り寿し 千寿 すしつね 北千住マルイ店,寿司,3.05,2999,2,03-5284-3572,予約不可,11:00 - 22:00 ■ 営業時間 平日ランチ：11:00～15:00 ラストオーダー：和食21:00、その他21:30、お土産21:30（最終受取22:00迄）  ■ 定休日 不定休（マルイの休日に準ずる）,カード可 （JCB、AMEX、VISA、Master、Diners） 電子マネー不可 QRコード決済不可
1.547222222222222,BOSSA BURGER,ハンバーガー,3.59,2999,2,050-5594-2985,予約可,11:30 - 15:00 15:00 - 22:00 L.O. 21:00 ■ 営業時間 ディナータイムワンドリンク制(15:00〜21:00)  お席ご予約について 土日祝日ランチタイムは、オープン時間11:30のみ それ以降17:00以降でしたらご予約可  平日は、どの時間でもご予約可能です。  ■ 定休日 不定休、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
1.4706832582958147,サニーダイナー 本店 （SUNNY DINER）,ハンバーガー,3.52,1999,4,03-3888-3211,予約可,11:30 - 22:00,カード可 （VISA、Master） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD）
1.4456832582958146,Cafe＆Diner KHB （【旧店名】ケーエイチ バーガーズ）,ハンバーガー,3.46,1999,3,050-5868-9642,予約可,月・水・木・日・祝日 11:30 - 22:30 L.O. 料理22:00 ドリンク22:30 金・土・祝前日 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 火 定休日 ■ 営業時間 ランチタイム11：30～15:00  ■ 定休日 火曜日が祝日の場合は水曜日、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
1.4,モスバーガー 北千住センター通り店 （MOS BURGER）,ハンバーガー,3.01,999,5,03-3882-3848,予約可,月・火・水・木・金・土・日・祝日 07:00 - 23:00,カード不可
1.23873881385137,サニーダイナー ルミネ北千住店 （SUNNY DINER）,ハンバーガー,3.53,1999,0,03-5284-3211,予約不可,11:00 - 22:00 ■ 定休日 不定休（ルミネの定休に準ずる）,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可
1.2245497748874437,築地玉寿司 ルミネ北千住店,寿司,3.07,1999,0,03-5813-5081,予約可,11:00 - 22:00 L.O. 21:30 ■ 営業時間 ランチ 11:00～15:00／［月～金（土・日・祝日除く）］  ■ 定休日 無休 （ルミネ北千住に準ずる）,カード可 電子マネー可
1.1679054805180369,エスディコーヒー 北千住 （Sd Coffee）,ハンバーガー,3.38,1999,5,03-6806-1013,予約不可,月・水・木・金・土・日 09:00 - 18:00 火 定休日,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）
1.052627702740259,オリジナルパンケーキハウス ルミネ北千住店,ハンバーガー,3.15,1999,2,03-5284-8545,予約不可,11:00 - 22:00 L.O. 21:30 ■ 定休日 ルミネ北千住に準じる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど））
